SYM_ROOT,SYM_SUFFIX,TRADES_ROWS,TRADES_VOL
UBER,"",468538,1145449108
BETS,"",69922,356457754
ET,"",73651,336730874
PFE,"",301662,287715357
LCID,"",148142,267717424
TELL,"",49112,214817614
NKLA,"",133948,205579985
AAPL,"",625486,183784854
T,"",120196,172303560
EQH,"",90397,168333759
BAC,"",242610,168188495
VZ,"",138780,160288530
F,"",146562,159652808
SPY,"",669221,159259628
TSLA,"",1185389,159068358
AMZN,"",492794,156092695
PCG,"",107080,150877872
KO,"",196026,150147001
GMBL,"",25561,146970861
GETR,"",178711,132520578
PLTR,"",278350,130424480
BRSH,"",181956,126686402
CYH,"",40299,125096151
SWN,"",40867,121084035
SQQQ,"",153421,116591239
INTC,"",337153,114212069
MSFT,"",447207,111464305
BMY,"",112045,111351302
LUMN,"",38142,108416950
XOM,"",200934,107395694
SOXS,"",126593,107116392
COP,"",110077,104894430
CMCS,A,128238,97882784
WFC,"",183420,95522669
ALK,"",44534,95331745
KMI,"",58960,93616474
SEE,"",36568,93338620
XLF,"",107168,88012540
HPQ,"",78823,87753386
GOOG,"",266240,87741515
MULN,"",41157,87443664
INPX,"",41639,87228890
VSTS,"",17704,86891662
NYCB,"",73619,86238257
CCCC,"",339905,85960043
CSCO,"",154779,85838692
NEM,"",89459,85825880
AMC,"",78660,85697833
BB,"",30140,85138280
NXU,"",22786,84670185
